key,category,identity,variant,rep,target,position,first,mentioned,rank,n_named,first_brand,pick_method,first_named,picked_position
vpn__fictional__fabricated_claim__r6,vpn,fictional,fabricated_claim,6,Veilnet VPN,2,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,2.0
sunscreen__incumbent__control__r7,sunscreen,incumbent,control,7,La Roche-Posay,4,1,1,4.0,5,La Roche-Posay,sentence,Neutrogena,4.0
sunscreen__small__control__r7,sunscreen,small,control,7,The Purest Solutions,1,0,1,5.0,5,CeraVe,sentence,CeraVe,3.0
sunscreen__fictional__control__r7,sunscreen,fictional,control,7,Lumera,1,0,0,,3,Avène,sentence,Avène,4.0
sunscreen__fictional__statistics__r7,sunscreen,fictional,statistics,7,Lumera,2,0,1,2.0,5,Avène,sentence,Avène,1.0
sunscreen__fictional__cited_test__r7,sunscreen,fictional,cited_test,7,Lumera,4,0,1,4.0,5,CeraVe,sentence,Bioderma,3.0
sunscreen__fictional__expert_quote__r7,sunscreen,fictional,expert_quote,7,Lumera,3,0,0,,1,Bioderma,bold,Bioderma,1.0
sunscreen__fictional__authority__r7,sunscreen,fictional,authority,7,Lumera,1,1,1,1.0,1,Lumera,sentence,Lumera,1.0
sunscreen__fictional__social_proof__r7,sunscreen,fictional,social_proof,7,Lumera,5,1,1,5.0,5,Lumera,sentence,Neutrogena,5.0
sunscreen__fictional__certificate__r7,sunscreen,fictional,certificate,7,Lumera,5,1,1,5.0,5,Lumera,sentence,Avène,5.0
sunscreen__fictional__superlative__r7,sunscreen,fictional,superlative,7,Lumera,4,1,1,4.0,5,Lumera,sentence,CeraVe,4.0
sunscreen__fictional__emotional__r7,sunscreen,fictional,emotional,7,Lumera,3,0,1,3.0,5,CeraVe,sentence,CeraVe,1.0
sunscreen__fictional__technical__r7,sunscreen,fictional,technical,7,Lumera,5,1,1,1.0,5,Lumera,sentence,Lumera,5.0
sunscreen__fictional__price__r7,sunscreen,fictional,price,7,Lumera,1,1,1,1.0,5,Lumera,sentence,Lumera,1.0
sunscreen__fictional__fabricated_claim__r7,sunscreen,fictional,fabricated_claim,7,Lumera,2,1,1,1.0,5,Lumera,sentence,Lumera,2.0
vpn__incumbent__control__r7,vpn,incumbent,control,7,NordVPN,5,0,1,5.0,5,ExpressVPN,sentence,Proton VPN,3.0
vpn__small__control__r7,vpn,small,control,7,Windscribe,4,0,1,5.0,5,ExpressVPN,sentence,ExpressVPN,1.0
vpn__fictional__control__r7,vpn,fictional,control,7,Veilnet VPN,3,0,1,5.0,5,Proton VPN,sentence,ExpressVPN,5.0
vpn__fictional__statistics__r7,vpn,fictional,statistics,7,Veilnet VPN,2,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__cited_test__r7,vpn,fictional,cited_test,7,Veilnet VPN,3,1,1,1.0,1,Veilnet VPN,bold,Veilnet VPN,3.0
vpn__fictional__expert_quote__r7,vpn,fictional,expert_quote,7,Veilnet VPN,3,0,1,3.0,5,Surfshark,sentence,CyberGhost,2.0
vpn__fictional__authority__r7,vpn,fictional,authority,7,Veilnet VPN,1,1,1,1.0,1,Veilnet VPN,bold,Veilnet VPN,1.0
vpn__fictional__social_proof__r7,vpn,fictional,social_proof,7,Veilnet VPN,1,1,1,1.0,1,Veilnet VPN,bold,Veilnet VPN,1.0
vpn__fictional__certificate__r7,vpn,fictional,certificate,7,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,bold,Veilnet VPN,5.0
vpn__fictional__superlative__r7,vpn,fictional,superlative,7,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__emotional__r7,vpn,fictional,emotional,7,Veilnet VPN,4,0,0,,1,ExpressVPN,sentence,ExpressVPN,5.0
vpn__fictional__technical__r7,vpn,fictional,technical,7,Veilnet VPN,3,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,3.0
vpn__fictional__price__r7,vpn,fictional,price,7,Veilnet VPN,3,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,3.0
vpn__fictional__fabricated_claim__r7,vpn,fictional,fabricated_claim,7,Veilnet VPN,3,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,3.0
sunscreen__incumbent__control__r8,sunscreen,incumbent,control,8,La Roche-Posay,5,1,1,1.0,5,La Roche-Posay,sentence,La Roche-Posay,5.0
sunscreen__small__control__r8,sunscreen,small,control,8,The Purest Solutions,2,0,0,,3,Bioderma,sentence,Bioderma,1.0
sunscreen__fictional__control__r8,sunscreen,fictional,control,8,Lumera,2,0,1,2.0,5,Avène,sentence,Avène,1.0
sunscreen__fictional__statistics__r8,sunscreen,fictional,statistics,8,Lumera,3,1,1,3.0,5,Lumera,bold,Bioderma,3.0
sunscreen__fictional__cited_test__r8,sunscreen,fictional,cited_test,8,Lumera,5,0,1,5.0,5,CeraVe,sentence,CeraVe,1.0
sunscreen__fictional__expert_quote__r8,sunscreen,fictional,expert_quote,8,Lumera,4,0,0,,0,,none,,
sunscreen__fictional__authority__r8,sunscreen,fictional,authority,8,Lumera,2,0,1,2.0,5,Bioderma,bold,Bioderma,1.0
sunscreen__fictional__social_proof__r8,sunscreen,fictional,social_proof,8,Lumera,1,1,1,1.0,5,Lumera,sentence,Lumera,1.0
sunscreen__fictional__certificate__r8,sunscreen,fictional,certificate,8,Lumera,1,1,1,1.0,5,Lumera,sentence,Lumera,1.0
sunscreen__fictional__superlative__r8,sunscreen,fictional,superlative,8,Lumera,5,1,1,1.0,5,Lumera,sentence,Lumera,5.0
sunscreen__fictional__emotional__r8,sunscreen,fictional,emotional,8,Lumera,4,0,1,4.0,5,CeraVe,sentence,CeraVe,1.0
sunscreen__fictional__technical__r8,sunscreen,fictional,technical,8,Lumera,1,1,0,,4,Lumera,sentence,CeraVe,1.0
sunscreen__fictional__price__r8,sunscreen,fictional,price,8,Lumera,2,1,1,1.0,5,Lumera,sentence,Lumera,2.0
sunscreen__fictional__fabricated_claim__r8,sunscreen,fictional,fabricated_claim,8,Lumera,3,0,1,3.0,5,CeraVe,sentence,CeraVe,1.0
vpn__incumbent__control__r8,vpn,incumbent,control,8,NordVPN,1,1,1,1.0,5,NordVPN,sentence,NordVPN,1.0
vpn__small__control__r8,vpn,small,control,8,Windscribe,5,0,0,,2,ExpressVPN,sentence,ExpressVPN,4.0
vpn__fictional__control__r8,vpn,fictional,control,8,Veilnet VPN,4,0,1,4.0,5,ExpressVPN,sentence,ExpressVPN,2.0
vpn__fictional__statistics__r8,vpn,fictional,statistics,8,Veilnet VPN,3,0,1,1.0,2,ExpressVPN,bold,Veilnet VPN,1.0
vpn__fictional__cited_test__r8,vpn,fictional,cited_test,8,Veilnet VPN,4,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__expert_quote__r8,vpn,fictional,expert_quote,8,Veilnet VPN,4,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__authority__r8,vpn,fictional,authority,8,Veilnet VPN,2,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__social_proof__r8,vpn,fictional,social_proof,8,Veilnet VPN,2,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__certificate__r8,vpn,fictional,certificate,8,Veilnet VPN,1,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__superlative__r8,vpn,fictional,superlative,8,Veilnet VPN,1,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__emotional__r8,vpn,fictional,emotional,8,Veilnet VPN,5,0,1,5.0,5,ExpressVPN,sentence,ExpressVPN,3.0
vpn__fictional__technical__r8,vpn,fictional,technical,8,Veilnet VPN,4,1,1,4.0,5,Veilnet VPN,sentence,ExpressVPN,4.0
vpn__fictional__price__r8,vpn,fictional,price,8,Veilnet VPN,4,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__fabricated_claim__r8,vpn,fictional,fabricated_claim,8,Veilnet VPN,4,1,1,1.0,1,Veilnet VPN,bold,Veilnet VPN,4.0
sunscreen__incumbent__control__r9,sunscreen,incumbent,control,9,La Roche-Posay,1,0,1,1.0,5,CeraVe,sentence,La Roche-Posay,5.0
sunscreen__small__control__r9,sunscreen,small,control,9,The Purest Solutions,3,0,0,,1,CeraVe,bold,CeraVe,1.0
sunscreen__fictional__control__r9,sunscreen,fictional,control,9,Lumera,3,0,1,3.0,5,CeraVe,sentence,CeraVe,1.0
sunscreen__fictional__statistics__r9,sunscreen,fictional,statistics,9,Lumera,4,1,1,1.0,5,Lumera,sentence,Lumera,4.0
sunscreen__fictional__cited_test__r9,sunscreen,fictional,cited_test,9,Lumera,1,0,0,,4,Avène,sentence,Neutrogena,4.0
sunscreen__fictional__expert_quote__r9,sunscreen,fictional,expert_quote,9,Lumera,5,1,1,5.0,5,Lumera,sentence,CeraVe,5.0
sunscreen__fictional__authority__r9,sunscreen,fictional,authority,9,Lumera,3,0,1,2.0,2,CeraVe,bold,CeraVe,1.0
sunscreen__fictional__social_proof__r9,sunscreen,fictional,social_proof,9,Lumera,2,1,1,1.0,2,Lumera,sentence,Lumera,2.0
sunscreen__fictional__certificate__r9,sunscreen,fictional,certificate,9,Lumera,2,1,1,2.0,3,Lumera,sentence,CeraVe,2.0
sunscreen__fictional__superlative__r9,sunscreen,fictional,superlative,9,Lumera,1,1,1,1.0,1,Lumera,sentence,Lumera,1.0
sunscreen__fictional__emotional__r9,sunscreen,fictional,emotional,9,Lumera,5,0,1,5.0,5,CeraVe,sentence,Neutrogena,2.0
sunscreen__fictional__technical__r9,sunscreen,fictional,technical,9,Lumera,2,1,0,,3,Lumera,bold,CeraVe,2.0
sunscreen__fictional__price__r9,sunscreen,fictional,price,9,Lumera,3,1,1,1.0,5,Lumera,sentence,Lumera,3.0
sunscreen__fictional__fabricated_claim__r9,sunscreen,fictional,fabricated_claim,9,Lumera,4,1,1,1.0,5,Lumera,bold,Lumera,4.0
vpn__incumbent__control__r9,vpn,incumbent,control,9,NordVPN,2,0,0,,1,ExpressVPN,sentence,ExpressVPN,1.0
vpn__small__control__r9,vpn,small,control,9,Windscribe,1,0,1,2.0,5,ExpressVPN,sentence,ExpressVPN,2.0
vpn__fictional__control__r9,vpn,fictional,control,9,Veilnet VPN,5,0,0,,1,ExpressVPN,sentence,ExpressVPN,3.0
vpn__fictional__statistics__r9,vpn,fictional,statistics,9,Veilnet VPN,4,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__cited_test__r9,vpn,fictional,cited_test,9,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__expert_quote__r9,vpn,fictional,expert_quote,9,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__authority__r9,vpn,fictional,authority,9,Veilnet VPN,3,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,3.0
vpn__fictional__social_proof__r9,vpn,fictional,social_proof,9,Veilnet VPN,3,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,3.0
vpn__fictional__certificate__r9,vpn,fictional,certificate,9,Veilnet VPN,2,1,1,2.0,5,Veilnet VPN,sentence,ExpressVPN,2.0
vpn__fictional__superlative__r9,vpn,fictional,superlative,9,Veilnet VPN,2,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__emotional__r9,vpn,fictional,emotional,9,Veilnet VPN,1,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__technical__r9,vpn,fictional,technical,9,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__price__r9,vpn,fictional,price,9,Veilnet VPN,5,1,1,5.0,5,Veilnet VPN,sentence,CyberGhost,5.0
vpn__fictional__fabricated_claim__r9,vpn,fictional,fabricated_claim,9,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,5.0
